1	2	
1	3	
1	4	
1	5	
1	6	
2	7	
2	12	
2	13	
3	14	
3	50	
3	103	
3	123	
3	124	
3	125	
4	112	
4	115	
4	119	
5	120	
5	129	
5	131	
7	8	
7	9	
8	10	
8	12	
8	13	
8	14	
8	15	
8	132	
9	75	
10	11	
10	13	
10	15	
10	60	
11	15	
11	46	
11	53	
11	58	
11	59	
11	66	
12	13	
12	14	
12	132	
13	15	
13	62	
14	72	
14	113	
14	120	
14	132	
15	58	
15	60	
15	62	
15	63	
16	17	
16	18	
16	27	
16	126	
16	127	
17	18	
17	19	
17	21	
17	127	
18	30	
18	32	
18	37	
19	21	
19	38	
19	43	
19	127	
20	53	
20	157	
21	22	
21	127	
22	38	
22	39	
22	40	
22	41	
23	24	
23	60	
24	25	
24	28	
24	45	
25	26	
25	27	
26	74	
26	75	
26	76	
26	149	
27	31	
27	62	
27	65	
27	125	
27	126	
27	127	
28	29	
29	30	
29	31	
30	32	
32	33	
33	34	
33	35	
33	36	
34	40	
34	77	
34	104	
35	40	
36	67	
37	39	
37	126	
37	127	
38	105	
39	42	
40	81	
40	82	
41	81	
41	83	
41	84	
42	93	
42	109	
43	44	
43	103	
43	124	
43	125	
44	97	
44	102	
44	103	
45	54	
46	47	
47	48	
47	49	
48	50	
48	51	
48	52	
49	87	
50	51	
50	123	
50	125	
51	141	
51	142	
52	79	
52	106	
52	116	
52	117	
52	118	
53	54	
53	55	
54	56	
54	57	
55	57	
55	149	
55	157	
55	162	
56	67	
57	80	
58	61	
59	61	
60	61	
60	62	
60	65	
60	126	
61	62	
61	63	
62	63	
62	65	
62	126	
63	65	
64	65	
64	66	
65	126	
67	68	
68	69	
69	77	
69	78	
69	79	
70	73	
70	149	
70	153	
71	85	
71	150	
72	113	
72	128	
72	132	
72	152	
74	79	
74	119	
75	128	
75	130	
78	79	
78	80	
82	83	
84	93	
85	86	
86	87	
86	88	
86	89	
88	96	
88	106	
89	90	
90	96	
91	92	
91	93	
91	94	
91	95	
92	102	
93	98	
93	108	
94	103	
94	107	
94	109	
95	96	
95	97	
95	98	
95	99	
96	100	
96	101	
98	105	
100	104	
103	123	
103	124	
103	125	
106	107	
107	122	
109	119	
109	124	
109	125	
110	111	
110	112	
110	114	
110	134	
110	138	
110	141	
111	115	
112	120	
112	121	
113	132	
113	134	
115	117	
116	117	
116	119	
116	147	
116	148	
117	147	
120	128	
120	129	
122	123	
123	125	
124	125	
124	126	
125	126	
126	127	
129	132	
133	134	
133	135	
133	136	
133	137	
135	138	
136	139	
137	140	
138	139	
138	140	
138	145	
141	144	
142	143	
142	146	
143	144	
144	145	
144	146	
149	150	
149	151	
149	152	
151	161	
153	154	
153	155	
154	156	
154	160	
155	156	
156	157	
157	158	
158	159	
159	160	
161	162	
